year,categoria,pais,euros
2005,16,República Dominicana,0
2005,17,República Dominicana,0
2005,18,República Dominicana,0
2005,19,República Dominicana,0
2005,20,República Dominicana,0
2005,21,República Dominicana,0
2005,22,República Dominicana,0
2005,total,República Dominicana,0
2005,1,Singapur,0
2005,2,Singapur,0
2005,3,Singapur,752820
2005,4,Singapur,298265
2005,5,Singapur,0
2005,6,Singapur,0
2005,7,Singapur,0
2005,8,Singapur,0
2005,9,Singapur,0
2005,10,Singapur,0
2005,11,Singapur,0
2005,12,Singapur,0
2005,13,Singapur,0
2005,14,Singapur,0
2005,15,Singapur,0
2005,16,Singapur,0
2005,17,Singapur,0
2005,18,Singapur,0
2005,19,Singapur,0
2005,20,Singapur,0
2005,21,Singapur,0
2005,22,Singapur,0
2005,total,Singapur,1051085
2005,1,Sudáfrica,0
2005,2,Sudáfrica,0
2005,3,Sudáfrica,0
2005,4,Sudáfrica,0
2005,5,Sudáfrica,0
2005,6,Sudáfrica,0
2005,7,Sudáfrica,0
2005,8,Sudáfrica,0
2005,9,Sudáfrica,0
2005,10,Sudáfrica,0
2005,11,Sudáfrica,0
2005,12,Sudáfrica,0
2005,13,Sudáfrica,0
2005,14,Sudáfrica,0
2005,15,Sudáfrica,0
2005,16,Sudáfrica,0
2005,17,Sudáfrica,0
2005,18,Sudáfrica,0
2005,19,Sudáfrica,0
2005,20,Sudáfrica,0
2005,21,Sudáfrica,0
2005,22,Sudáfrica,0
2005,total,Sudáfrica,0
2005,1,Suecia,0
2005,2,Suecia,0
2005,3,Suecia,0
2005,4,Suecia,63646
2005,5,Suecia,0
2005,6,Suecia,0
2005,7,Suecia,0
2005,8,Suecia,0
2005,9,Suecia,0
2005,10,Suecia,0
2005,11,Suecia,0
2005,12,Suecia,0
2005,13,Suecia,0
2005,14,Suecia,0
2005,15,Suecia,0
2005,16,Suecia,0
2005,17,Suecia,0
2005,18,Suecia,0
2005,19,Suecia,0
2005,20,Suecia,0
2005,21,Suecia,0
2005,22,Suecia,0
2005,total,Suecia,63646
2005,1,Suiza,1490
2005,2,Suiza,0
2005,3,Suiza,9594
2005,4,Suiza,0
2005,5,Suiza,0
2005,6,Suiza,0
2005,7,Suiza,0
2005,8,Suiza,0
2005,9,Suiza,0
2005,10,Suiza,0
2005,11,Suiza,0
2005,12,Suiza,0
2005,13,Suiza,0
2005,14,Suiza,0
2005,15,Suiza,0
2005,16,Suiza,0
2005,17,Suiza,0
2005,18,Suiza,0
2005,19,Suiza,0
2005,20,Suiza,0
2005,21,Suiza,0
2005,22,Suiza,0
2005,total,Suiza,11084
2005,1,Tailandia,0
2005,2,Tailandia,0
2005,3,Tailandia,0
2005,4,Tailandia,0
2005,5,Tailandia,0
2005,6,Tailandia,0
2005,7,Tailandia,0
2005,8,Tailandia,0
2005,9,Tailandia,80237
2005,10,Tailandia,0
2005,11,Tailandia,0
2005,12,Tailandia,0
2005,13,Tailandia,0
2005,14,Tailandia,0
2005,15,Tailandia,0
2005,16,Tailandia,0
2005,17,Tailandia,0
2005,18,Tailandia,0
2005,19,Tailandia,0
2005,20,Tailandia,0
2005,21,Tailandia,0
2005,22,Tailandia,0
2005,total,Tailandia,80237
2005,1,Túnez,0
2005,2,Túnez,0
2005,3,Túnez,0
2005,4,Túnez,368000
2005,5,Túnez,0
2005,6,Túnez,0
2005,7,Túnez,0
2005,8,Túnez,0
2005,9,Túnez,0
2005,10,Túnez,0
2005,11,Túnez,0
2005,12,Túnez,0
2005,13,Túnez,0
2005,14,Túnez,0
2005,15,Túnez,0
2005,16,Túnez,0
2005,17,Túnez,0
2005,18,Túnez,0
2005,19,Túnez,0
2005,20,Túnez,0
2005,21,Túnez,0
2005,22,Túnez,0
2005,total,Túnez,368000
2005,1,Turquía,1770
2005,2,Turquía,0
2005,3,Turquía,0
2005,4,Turquía,0
2005,5,Turquía,0
2005,6,Turquía,0
2005,7,Turquía,0
2005,8,Turquía,0
2005,9,Turquía,0
2005,10,Turquía,0
2005,11,Turquía,0
2005,12,Turquía,0
2005,13,Turquía,0
2005,14,Turquía,0
2005,15,Turquía,0
2005,16,Turquía,0
2005,17,Turquía,0
2005,18,Turquía,0
